,0
bp_beta_mean,0.05517372528833558
bp_delta_std,0.05006690028831447
LR_gamma,0.047629984881854034
LR_beta,0.04620456748799549
LR_delta,0.045765782883052636
bp_theta_min,0.04129257624144843
se_mean,0.039212610002317
bp_gamma_std,0.03705279286206912
apf_mean,0.033149973341797596
AP_delta,0.03167359969992414
bp_beta_max,0.030306535327238954
bp_delta_mean,0.028169482189902145
bp_beta_std,0.027817467039734204
bp_alpha_std,0.02770347921171242
AP_gamma,0.026109951986971903
bp_beta_min,0.02598655604262482
bp_theta_mean,0.025474626357988042
bp_alpha_min,0.024670311690378383
AP_beta,0.02381290751123712
bp_alpha_mean,0.023628903760770228
